subject,method,annotator,detected_peaks,reference_peaks,matched,detector_only,reference_only,matched_fraction_detected,matched_fraction_reference,median_absolute_error_samples,maximum_absolute_error_samples
22,featuregraph,ann1,150,150,141,9,9,0.94,0.94,42.0,63.0
22,featuregraph,ann2,150,150,149,1,1,0.9933333333333333,0.9933333333333333,40.0,58.0
22,llm_selected_baseline,ann1,151,150,150,1,0,0.9933774834437086,1.0,6.0,40.0
22,llm_selected_baseline,ann2,151,150,150,1,0,0.9933774834437086,1.0,4.0,25.0
23,featuregraph,ann1,192,143,141,51,2,0.734375,0.986013986013986,10.0,47.0
23,featuregraph,ann2,192,144,142,50,2,0.7395833333333334,0.9861111111111112,5.0,46.0
23,llm_selected_baseline,ann1,149,143,142,7,1,0.9530201342281879,0.993006993006993,5.0,56.0
23,llm_selected_baseline,ann2,149,144,142,7,2,0.9530201342281879,0.9861111111111112,7.0,31.0
24,featuregraph,ann1,179,180,179,0,1,1.0,0.9944444444444445,24.0,50.0
24,featuregraph,ann2,179,180,179,0,1,1.0,0.9944444444444445,22.0,59.0
24,llm_selected_baseline,ann1,180,180,180,0,0,1.0,1.0,5.0,21.0
24,llm_selected_baseline,ann2,180,180,180,0,0,1.0,1.0,4.0,25.0
25,featuregraph,ann1,159,129,127,32,2,0.7987421383647799,0.9844961240310077,6.0,44.0
25,featuregraph,ann2,159,129,127,32,2,0.7987421383647799,0.9844961240310077,4.0,21.0
25,llm_selected_baseline,ann1,128,129,128,0,1,1.0,0.9922480620155039,11.0,29.0
25,llm_selected_baseline,ann2,128,129,128,0,1,1.0,0.9922480620155039,12.0,30.0
26,featuregraph,ann1,156,131,115,41,16,0.7371794871794872,0.8778625954198473,34.0,62.0
26,featuregraph,ann2,156,137,121,35,16,0.7756410256410257,0.8832116788321168,12.0,63.0
26,llm_selected_baseline,ann1,143,131,126,17,5,0.8811188811188811,0.9618320610687023,15.5,62.0
26,llm_selected_baseline,ann2,143,137,130,13,7,0.9090909090909091,0.948905109489051,10.0,49.0
27,featuregraph,ann1,140,82,55,85,27,0.39285714285714285,0.6707317073170732,24.0,63.0
27,featuregraph,ann2,140,89,77,63,12,0.55,0.8651685393258427,6.0,63.0
27,llm_selected_baseline,ann1,90,82,48,42,34,0.5333333333333333,0.5853658536585366,30.0,61.0
27,llm_selected_baseline,ann2,90,89,70,20,19,0.7777777777777778,0.7865168539325843,17.0,63.0
28,featuregraph,ann1,148,145,70,78,75,0.47297297297297297,0.4827586206896552,52.0,63.0
28,featuregraph,ann2,148,144,69,79,75,0.46621621621621623,0.4791666666666667,56.0,63.0
28,llm_selected_baseline,ann1,146,145,145,1,0,0.9931506849315068,1.0,10.0,39.0
28,llm_selected_baseline,ann2,146,144,144,2,0,0.9863013698630136,1.0,6.0,45.0
29,featuregraph,ann1,159,150,132,27,18,0.8301886792452831,0.88,25.5,62.0
29,featuregraph,ann2,159,151,146,13,5,0.9182389937106918,0.9668874172185431,6.0,57.0
29,llm_selected_baseline,ann1,150,150,143,7,7,0.9533333333333334,0.9533333333333334,18.0,61.0
29,llm_selected_baseline,ann2,150,151,138,12,13,0.92,0.9139072847682119,22.0,62.0
30,featuregraph,ann1,152,149,145,7,4,0.9539473684210527,0.9731543624161074,9.0,63.0
30,featuregraph,ann2,152,149,145,7,4,0.9539473684210527,0.9731543624161074,6.0,53.0
30,llm_selected_baseline,ann1,151,149,149,2,0,0.9867549668874173,1.0,7.0,55.0
30,llm_selected_baseline,ann2,151,149,148,3,1,0.9801324503311258,0.9932885906040269,7.0,29.0
31,featuregraph,ann1,160,144,143,17,1,0.89375,0.9930555555555556,20.0,57.0
31,featuregraph,ann2,160,143,143,17,0,0.89375,1.0,19.0,61.0
31,llm_selected_baseline,ann1,151,144,144,7,0,0.9536423841059603,1.0,8.0,32.0
31,llm_selected_baseline,ann2,151,143,143,8,0,0.9470198675496688,1.0,10.0,30.0
32,featuregraph,ann1,196,197,196,0,1,1.0,0.9949238578680203,9.0,45.0
32,featuregraph,ann2,196,197,196,0,1,1.0,0.9949238578680203,3.0,43.0
32,llm_selected_baseline,ann1,197,197,197,0,0,1.0,1.0,8.0,38.0
32,llm_selected_baseline,ann2,197,197,197,0,0,1.0,1.0,8.0,33.0
33,featuregraph,ann1,169,107,93,76,14,0.5502958579881657,0.8691588785046729,24.0,62.0
33,featuregraph,ann2,169,106,89,80,17,0.5266272189349113,0.839622641509434,31.0,53.0
33,llm_selected_baseline,ann1,114,107,101,13,6,0.8859649122807017,0.9439252336448598,16.0,63.0
33,llm_selected_baseline,ann2,114,106,102,12,4,0.8947368421052632,0.9622641509433962,6.0,43.0
34,featuregraph,ann1,147,136,136,11,0,0.9251700680272109,1.0,6.0,63.0
34,featuregraph,ann2,147,141,141,6,0,0.9591836734693877,1.0,4.0,36.0
34,llm_selected_baseline,ann1,142,136,135,7,1,0.9507042253521126,0.9926470588235294,9.0,44.0
34,llm_selected_baseline,ann2,142,141,140,2,1,0.9859154929577465,0.9929078014184397,9.0,41.0
35,featuregraph,ann1,141,142,29,112,113,0.20567375886524822,0.20422535211267606,55.0,63.0
35,featuregraph,ann2,141,140,23,118,117,0.16312056737588654,0.16428571428571428,55.0,63.0
35,llm_selected_baseline,ann1,159,142,139,20,3,0.8742138364779874,0.9788732394366197,10.0,40.0
35,llm_selected_baseline,ann2,159,140,140,19,0,0.8805031446540881,1.0,5.0,50.0
36,featuregraph,ann1,149,148,148,1,0,0.9932885906040269,1.0,11.0,51.0
36,featuregraph,ann2,149,147,147,2,0,0.9865771812080537,1.0,4.0,39.0
36,llm_selected_baseline,ann1,147,148,147,0,1,1.0,0.9932432432432432,13.0,48.0
36,llm_selected_baseline,ann2,147,147,147,0,0,1.0,1.0,24.0,59.0
37,featuregraph,ann1,175,149,140,35,9,0.8,0.9395973154362416,20.0,62.0
37,featuregraph,ann2,175,149,140,35,9,0.8,0.9395973154362416,7.0,55.0
37,llm_selected_baseline,ann1,153,149,143,10,6,0.934640522875817,0.959731543624161,12.0,46.0
37,llm_selected_baseline,ann2,153,149,146,7,3,0.954248366013072,0.9798657718120806,8.0,60.0
38,featuregraph,ann1,138,122,41,97,81,0.2971014492753623,0.3360655737704918,38.0,63.0
38,featuregraph,ann2,138,128,44,94,84,0.3188405797101449,0.34375,15.5,62.0
38,llm_selected_baseline,ann1,135,122,113,22,9,0.837037037037037,0.9262295081967213,11.0,56.0
38,llm_selected_baseline,ann2,135,128,123,12,5,0.9111111111111111,0.9609375,13.0,62.0
39,featuregraph,ann1,113,114,4,109,110,0.035398230088495575,0.03508771929824561,54.5,60.0
39,featuregraph,ann2,113,114,2,111,112,0.017699115044247787,0.017543859649122806,50.0,53.0
39,llm_selected_baseline,ann1,180,114,112,68,2,0.6222222222222222,0.9824561403508771,13.5,51.0
39,llm_selected_baseline,ann2,180,114,114,66,0,0.6333333333333333,1.0,12.5,52.0
40,featuregraph,ann1,147,126,100,47,26,0.6802721088435374,0.7936507936507936,35.5,63.0
40,featuregraph,ann2,147,132,107,40,25,0.7278911564625851,0.8106060606060606,41.0,61.0
40,llm_selected_baseline,ann1,144,126,120,24,6,0.8333333333333334,0.9523809523809523,10.0,55.0
40,llm_selected_baseline,ann2,144,132,128,16,4,0.8888888888888888,0.9696969696969697,7.0,54.0
41,featuregraph,ann1,126,109,109,17,0,0.8650793650793651,1.0,10.0,60.0
41,featuregraph,ann2,126,109,109,17,0,0.8650793650793651,1.0,4.0,24.0
41,llm_selected_baseline,ann1,113,109,109,4,0,0.9646017699115044,1.0,11.0,38.0
41,llm_selected_baseline,ann2,113,109,109,4,0,0.9646017699115044,1.0,11.0,39.0
42,featuregraph,ann1,138,138,136,2,2,0.9855072463768116,0.9855072463768116,40.0,63.0
42,featuregraph,ann2,138,138,135,3,3,0.9782608695652174,0.9782608695652174,43.0,63.0
42,llm_selected_baseline,ann1,138,138,138,0,0,1.0,1.0,6.0,28.0
42,llm_selected_baseline,ann2,138,138,138,0,0,1.0,1.0,7.0,24.0
43,featuregraph,ann1,142,140,139,3,1,0.9788732394366197,0.9928571428571429,18.0,55.0
43,featuregraph,ann2,142,140,138,4,2,0.971830985915493,0.9857142857142858,20.0,61.0
43,llm_selected_baseline,ann1,140,140,139,1,1,0.9928571428571429,0.9928571428571429,8.0,39.0
43,llm_selected_baseline,ann2,140,140,139,1,1,0.9928571428571429,0.9928571428571429,11.0,46.0
44,featuregraph,ann1,136,132,2,134,130,0.014705882352941176,0.015151515151515152,49.5,57.0
44,featuregraph,ann2,136,132,131,5,1,0.9632352941176471,0.9924242424242424,5.0,61.0
44,llm_selected_baseline,ann1,133,132,0,133,132,0.0,0.0,,
44,llm_selected_baseline,ann2,133,132,130,3,2,0.9774436090225563,0.9848484848484849,18.5,63.0
45,featuregraph,ann1,130,128,128,2,0,0.9846153846153847,1.0,17.5,59.0
45,featuregraph,ann2,130,128,126,4,2,0.9692307692307692,0.984375,5.0,23.0
45,llm_selected_baseline,ann1,128,128,128,0,0,1.0,1.0,8.0,35.0
45,llm_selected_baseline,ann2,128,128,128,0,0,1.0,1.0,16.5,55.0
46,featuregraph,ann1,156,95,66,90,29,0.4230769230769231,0.6947368421052632,23.0,63.0
46,featuregraph,ann2,156,123,82,74,41,0.5256410256410257,0.6666666666666666,8.0,62.0
46,llm_selected_baseline,ann1,134,95,82,52,13,0.6119402985074627,0.8631578947368421,16.0,61.0
46,llm_selected_baseline,ann2,134,123,113,21,10,0.8432835820895522,0.9186991869918699,13.0,58.0
