subject,matched_objects,featuregraph_only_objects,llm_only_objects,featuregraph_complete_objects,llm_complete_objects,featuregraph_matched_fraction,llm_matched_fraction,median_absolute_start_index_error,maximum_absolute_start_index_error,median_absolute_peak_index_error,maximum_absolute_peak_index_error,median_absolute_end_index_error,maximum_absolute_end_index_error,median_absolute_period_seconds_error,maximum_absolute_period_seconds_error,median_absolute_full_excursion_error,maximum_absolute_full_excursion_error,median_absolute_temporal_symmetry_error,maximum_absolute_temporal_symmetry_error,featuregraph_mean_period_seconds,llm_mean_period_seconds,featuregraph_mean_full_excursion,llm_mean_full_excursion,featuregraph_mean_temporal_symmetry,llm_mean_temporal_symmetry,featuregraph_construction,featuregraph_scaling,samples,featuregraph_detected_peaks,llm_detected_peaks,featuregraph_partial_objects,llm_partial_objects,median_signed_start_index_difference,median_signed_peak_index_difference,median_signed_end_index_difference,median_signed_period_seconds_difference,median_signed_full_excursion_difference,median_signed_temporal_symmetry_difference,featuregraph_only_excluded_by_both_annotators
11.0,116.0,16.0,0.0,132.0,116.0,0.8787878787878788,1.0,37.0,291.0,16.0,42.0,37.5,163.0,0.15200000000000014,4.216,0.0024399999999999977,0.32519,0.08923946081670409,0.4270725021268551,3.817182608695652,4.039373913043479,0.6896547413793105,0.6960409913793104,0.8203916315028041,0.7756968392156874,envelope,absolute,60001,133,119,2,1,-30.0,0.0,-30.0,-0.03200000000000003,0.0,0.04996370319924376,12
12.0,150.0,0.0,0.0,150.0,150.0,1.0,1.0,13.0,38.0,20.5,41.0,13.5,38.0,0.03999999999999959,0.3759999999999999,0.0,0.027371000000000034,0.08065282906192678,0.16558741905642926,3.1691812080536916,3.1696000000000004,0.8542198866666665,0.85309918,0.8736249280057522,0.8913669501198175,envelope,absolute,60001,150,151,2,0,-13.0,-20.5,-13.0,-0.008000000000000007,0.0,-0.019571059448716177,0
13.0,105.0,140.0,0.0,245.0,105.0,0.42857142857142855,1.0,21.0,2390.0,13.0,56.0,34.0,1328.0,0.3599999999999999,30.48,0.005869999999999986,0.206254,0.1383791162796688,0.8029133536566203,2.5660190476190476,4.477153846153846,0.1682722095238095,0.18245081904761906,0.8176104371740197,0.6876415608076583,envelope,absolute,60001,246,106,2,1,-1.0,3.0,-22.0,-0.2919999999999998,-0.0048799999999999955,0.07567179286250691,63
14.0,98.0,67.0,3.0,165.0,101.0,0.593939393939394,0.9702970297029703,36.0,192.0,18.0,53.0,35.0,134.0,0.32000000000000006,3.64,0.0024499999999998967,0.415645,0.10743894442266622,0.43508242206626413,3.2473469387755105,3.735755102040817,0.8176726530612246,0.8569927040816325,0.7684748632887262,0.7182781638270792,envelope,absolute,60001,165,144,2,0,35.0,6.5,33.5,-0.05600000000000005,0.0,0.04545795299988936,42
15.0,114.0,25.0,3.0,139.0,117.0,0.8201438848920863,0.9743589743589743,15.0,270.0,14.5,61.0,14.5,458.0,0.17600000000000016,7.592,0.0,0.78973,0.06517154085261417,0.4335701131281242,3.705964912280702,3.9715789473684207,1.1858823684210527,1.2239940789473687,0.8226349102209097,0.8098222496454892,envelope,absolute,60001,139,121,2,0,12.0,-2.0,8.0,-0.040000000000000036,0.0,0.00820236592478718,16
16.0,149.0,7.0,3.0,156.0,152.0,0.9551282051282052,0.9802631578947368,39.0,162.0,49.0,63.0,39.0,83.0,0.055999999999999606,2.5679999999999996,0.0,0.0,0.15989974937343354,0.4088935209310405,3.0517837837837836,3.063135135135135,1.0,1.0,0.7644958167437934,0.8422300003864659,envelope,absolute,60001,157,157,2,1,34.0,-49.0,34.0,0.0,0.0,-0.06845827439886853,2
17.0,56.0,84.0,81.0,140.0,137.0,0.4,0.40875912408759124,38.0,159.0,57.0,63.0,33.5,159.0,0.06400000000000006,3.1839999999999997,0.0,0.0,0.10254399486754756,0.4977952108309872,3.5255272727272726,3.517672727272727,0.9606200714285714,0.9606200714285714,0.6302581462234953,0.7448855817604122,envelope,absolute,60001,140,138,2,1,-35.0,-57.0,-32.0,0.06399999999999961,0.0,-0.10225609141214892,65
18.0,142.0,2.0,0.0,144.0,142.0,0.9861111111111112,1.0,40.0,87.0,6.0,12.0,40.0,87.0,0.016000000000000014,1.984,0.0,0.09290999999999994,0.21475372882207117,0.2835192976038047,3.321531914893617,3.3348732394366194,0.5995200704225351,0.5992792253521125,0.9776207882826209,0.8009721788942503,envelope,absolute,60001,144,144,2,1,-39.0,6.0,-39.0,0.0,0.0,0.21475372882207117,1
19.0,120.0,99.0,1.0,219.0,121.0,0.547945205479452,0.9917355371900827,31.0,402.0,9.0,34.0,28.0,552.0,0.22399999999999998,5.696000000000001,0.0018449999999999578,0.26814,0.11591546278084075,0.6232393922199105,2.9446000000000003,3.929066666666666,0.24674895,0.26182664166666664,0.7719243222053845,0.6605685478751189,envelope,absolute,60001,219,122,2,0,28.0,4.0,19.0,-0.16400000000000015,0.0,0.08979579373491053,89
20.0,108.0,25.0,6.0,133.0,114.0,0.8120300751879699,0.9473684210526315,14.0,167.0,44.5,63.0,13.5,120.0,0.14400000000000013,3.5199999999999996,0.0,0.13000999999999996,0.14304766092825372,0.44694838981859086,3.713046728971963,3.815555555555556,0.9665113370370371,0.9700050018518518,0.7118370525867174,0.8481662708820908,envelope,absolute,60001,134,128,2,1,0.5,-44.5,0.0,-0.008000000000000007,0.0,-0.1421884973892007,19
21.0,137.0,21.0,7.0,158.0,144.0,0.8670886075949367,0.9513888888888888,37.0,166.0,34.0,58.0,37.0,212.0,0.11199999999999966,2.624,0.0,0.41447,0.13969849246231147,0.6136382196815027,3.151591240875913,3.2232992700729928,0.9337072248175183,0.9482701795620437,0.8219242108176588,0.7941773516907374,envelope,absolute,60001,159,150,2,0,31.0,-34.0,30.0,0.008000000000000007,0.0,0.022511358942585713,16
22.0,149.0,0.0,0.0,149.0,149.0,1.0,1.0,44.0,79.0,41.0,54.0,44.0,79.0,0.06400000000000006,0.3759999999999999,0.0,0.261,0.11118756936736962,0.37549728752260403,3.185837837837838,3.1871140939597313,0.9846746228187919,0.9903166809395971,0.822110357748456,0.795785934169239,envelope,absolute,60001,150,151,2,1,44.0,-41.0,44.0,0.0,0.0,0.07580996286336272,0
23.0,139.0,53.0,1.0,192.0,140.0,0.7239583333333334,0.9928571428571429,43.0,154.0,7.0,51.0,44.0,120.0,0.13600000000000012,1.9519999999999997,0.0048799999999999955,0.17986000000000002,0.12847156621953515,0.43119790569614536,2.8764892086330933,3.260086330935252,0.7574068552517985,0.7624000244604315,0.9274810268876515,0.8303385948372939,envelope,absolute,60001,192,149,2,0,-16.0,-5.0,-18.0,-0.06400000000000006,0.0,0.09050505050505042,48
24.0,178.0,0.0,0.0,178.0,178.0,1.0,1.0,22.0,52.0,22.0,44.0,22.0,52.0,0.040000000000000036,0.19999999999999973,0.0,0.04594100000000001,0.029730028863367564,0.2740736970684039,2.6672994350282484,2.6664719101123597,0.8943958453932584,0.892792086966292,0.8486149606210107,0.8546952161180198,envelope,absolute,60001,179,180,2,1,-22.0,-22.0,-22.0,0.0,0.0,-0.002942181635778196,0
