subject,method,annotator,detected_peaks,reference_peaks,matched,detector_only,reference_only,matched_fraction_detected,matched_fraction_reference,median_absolute_error_samples,maximum_absolute_error_samples
23,featuregraph,ann1,244,143,142,102,1,0.5819672131147541,0.993006993006993,13.0,55.0
23,featuregraph,ann2,244,144,142,102,2,0.5819672131147541,0.9861111111111112,13.0,48.0
23,llm_selected_baseline,ann1,149,143,142,7,1,0.9530201342281879,0.993006993006993,5.0,56.0
23,llm_selected_baseline,ann2,149,144,142,7,2,0.9530201342281879,0.9861111111111112,7.0,31.0
24,featuregraph,ann1,180,180,180,0,0,1.0,1.0,10.0,34.0
24,featuregraph,ann2,180,180,180,0,0,1.0,1.0,11.0,33.0
24,llm_selected_baseline,ann1,180,180,180,0,0,1.0,1.0,5.0,21.0
24,llm_selected_baseline,ann2,180,180,180,0,0,1.0,1.0,4.0,25.0
25,featuregraph,ann1,137,129,129,8,0,0.9416058394160584,1.0,16.0,30.0
25,featuregraph,ann2,137,129,129,8,0,0.9416058394160584,1.0,18.0,34.0
25,llm_selected_baseline,ann1,128,129,128,0,1,1.0,0.9922480620155039,11.0,29.0
25,llm_selected_baseline,ann2,128,129,128,0,1,1.0,0.9922480620155039,12.0,30.0
26,featuregraph,ann1,159,131,111,48,20,0.6981132075471698,0.8473282442748091,18.0,63.0
26,featuregraph,ann2,159,137,120,39,17,0.7547169811320755,0.8759124087591241,15.0,63.0
26,llm_selected_baseline,ann1,143,131,126,17,5,0.8811188811188811,0.9618320610687023,15.5,62.0
26,llm_selected_baseline,ann2,143,137,130,13,7,0.9090909090909091,0.948905109489051,10.0,49.0
27,featuregraph,ann1,39,82,1,38,81,0.02564102564102564,0.012195121951219513,35.0,35.0
27,featuregraph,ann2,39,89,7,32,82,0.1794871794871795,0.07865168539325842,7.0,25.0
27,llm_selected_baseline,ann1,90,82,48,42,34,0.5333333333333333,0.5853658536585366,30.0,61.0
27,llm_selected_baseline,ann2,90,89,70,20,19,0.7777777777777778,0.7865168539325843,17.0,63.0
28,featuregraph,ann1,158,145,139,19,6,0.879746835443038,0.9586206896551724,27.0,62.0
28,featuregraph,ann2,158,144,142,16,2,0.8987341772151899,0.9861111111111112,29.0,63.0
28,llm_selected_baseline,ann1,146,145,145,1,0,0.9931506849315068,1.0,10.0,39.0
28,llm_selected_baseline,ann2,146,144,144,2,0,0.9863013698630136,1.0,6.0,45.0
29,featuregraph,ann1,95,150,53,42,97,0.5578947368421052,0.35333333333333333,34.0,62.0
29,featuregraph,ann2,95,151,68,27,83,0.7157894736842105,0.4503311258278146,13.5,63.0
29,llm_selected_baseline,ann1,150,150,143,7,7,0.9533333333333334,0.9533333333333334,18.0,61.0
29,llm_selected_baseline,ann2,150,151,138,12,13,0.92,0.9139072847682119,22.0,62.0
30,featuregraph,ann1,180,149,148,32,1,0.8222222222222222,0.9932885906040269,13.0,51.0
30,featuregraph,ann2,180,149,148,32,1,0.8222222222222222,0.9932885906040269,10.0,42.0
30,llm_selected_baseline,ann1,151,149,149,2,0,0.9867549668874173,1.0,7.0,55.0
30,llm_selected_baseline,ann2,151,149,148,3,1,0.9801324503311258,0.9932885906040269,7.0,29.0
31,featuregraph,ann1,333,144,144,189,0,0.43243243243243246,1.0,10.5,43.0
31,featuregraph,ann2,333,143,143,190,0,0.4294294294294294,1.0,11.0,46.0
31,llm_selected_baseline,ann1,151,144,144,7,0,0.9536423841059603,1.0,8.0,32.0
31,llm_selected_baseline,ann2,151,143,143,8,0,0.9470198675496688,1.0,10.0,30.0
32,featuregraph,ann1,400,197,197,203,0,0.4925,1.0,14.0,35.0
32,featuregraph,ann2,400,197,197,203,0,0.4925,1.0,17.0,37.0
32,llm_selected_baseline,ann1,197,197,197,0,0,1.0,1.0,8.0,38.0
32,llm_selected_baseline,ann2,197,197,197,0,0,1.0,1.0,8.0,33.0
33,featuregraph,ann1,211,107,98,113,9,0.46445497630331756,0.9158878504672897,14.0,61.0
33,featuregraph,ann2,211,106,92,119,14,0.43601895734597157,0.8679245283018868,7.0,58.0
33,llm_selected_baseline,ann1,114,107,101,13,6,0.8859649122807017,0.9439252336448598,16.0,63.0
33,llm_selected_baseline,ann2,114,106,102,12,4,0.8947368421052632,0.9622641509433962,6.0,43.0
34,featuregraph,ann1,153,136,136,17,0,0.8888888888888888,1.0,12.0,48.0
34,featuregraph,ann2,153,141,141,12,0,0.9215686274509803,1.0,10.0,24.0
34,llm_selected_baseline,ann1,142,136,135,7,1,0.9507042253521126,0.9926470588235294,9.0,44.0
34,llm_selected_baseline,ann2,142,141,140,2,1,0.9859154929577465,0.9929078014184397,9.0,41.0
35,featuregraph,ann1,145,142,128,17,14,0.8827586206896552,0.9014084507042254,38.0,63.0
35,featuregraph,ann2,145,140,134,11,6,0.9241379310344827,0.9571428571428572,38.0,61.0
