subject,matched_objects,featuregraph_only_objects,llm_only_objects,featuregraph_complete_objects,llm_complete_objects,featuregraph_matched_fraction,llm_matched_fraction,median_absolute_start_index_error,maximum_absolute_start_index_error,median_absolute_peak_index_error,maximum_absolute_peak_index_error,median_absolute_end_index_error,maximum_absolute_end_index_error,median_absolute_period_seconds_error,maximum_absolute_period_seconds_error,median_absolute_full_excursion_error,maximum_absolute_full_excursion_error,median_absolute_temporal_symmetry_error,maximum_absolute_temporal_symmetry_error,featuregraph_mean_period_seconds,llm_mean_period_seconds,featuregraph_mean_full_excursion,llm_mean_full_excursion,featuregraph_mean_temporal_symmetry,llm_mean_temporal_symmetry,samples,featuregraph_detected_peaks,llm_detected_peaks,featuregraph_partial_objects,llm_partial_objects,median_signed_start_index_difference,median_signed_peak_index_difference,median_signed_end_index_difference,median_signed_period_seconds_difference,median_signed_full_excursion_difference,median_signed_temporal_symmetry_difference,featuregraph_only_excluded_by_both_annotators
11.0,111.0,28.0,5.0,139.0,116.0,0.7985611510791367,0.9568965517241379,80.0,351.0,23.0,61.0,80.0,351.0,0.17600000000000016,4.448,0.01711000000000007,0.29828999999999994,0.43310502283105023,0.820982611739993,3.581890909090909,4.043563636363637,0.6657850900900901,0.6999267567567569,0.3445471941692539,0.7755662794777882,60001.0,140.0,119.0,2.0,1.0,80.0,-20.0,77.0,-0.07200000000000006,-0.007340000000000013,-0.43310502283105023,22.0
12.0,150.0,3.0,0.0,153.0,150.0,0.9803921568627451,1.0,72.5,178.0,6.0,16.0,72.0,178.0,0.027999999999999803,2.76,0.0,0.093839,0.34487121681730215,0.7544622295690139,3.13632,3.1696000000000004,0.8490391066666666,0.85309918,0.5446936768788627,0.8913669501198175,60001.0,154.0,151.0,2.0,0.0,72.5,5.0,72.0,0.0,0.0,-0.34487121681730215,2.0
13.0,9.0,1.0,96.0,10.0,105.0,0.9,0.08571428571428572,109.0,500.0,12.0,22.0,3950.0,7778.0,39.391999999999996,131.064,0.015639999999999987,0.02248,0.6263871052823632,0.7417975637024157,48.958999999999996,3.741333333333333,0.32486133333333334,0.313568,0.06788252616498865,0.6508910424342734,60001.0,11.0,106.0,2.0,1.0,109.0,-12.0,3950.0,39.391999999999996,0.015639999999999987,-0.6263871052823632,1.0
14.0,70.0,215.0,31.0,285.0,101.0,0.24561403508771928,0.693069306930693,188.5,494.0,20.0,63.0,47.0,514.0,2.064,5.0,0.02077999999999991,0.59168,0.43105552423269045,0.8697420968163326,1.4137142857142857,3.5170285714285714,0.8260901428571428,0.8892413571428571,0.3900999808287574,0.767405167377907,60001.0,286.0,144.0,2.0,0.0,188.5,-15.0,46.0,-2.064,-0.001224999999999976,-0.43105552423269045,190.0
15.0,83.0,83.0,34.0,166.0,117.0,0.5,0.7094017094017094,74.0,265.0,15.0,63.0,66.0,1424.0,0.44799999999999995,11.712,0.022009999999999863,0.78973,0.30041568363105264,0.8229909154437457,3.31055421686747,3.817927710843374,1.2862107228915662,1.395145843373494,0.5199387459128335,0.8485517212569401,60001.0,167.0,121.0,2.0,0.0,74.0,-12.0,61.0,0.040000000000000036,0.0,-0.30041568363105264,69.0
16.0,152.0,57.0,0.0,209.0,152.0,0.7272727272727273,1.0,150.0,266.0,12.0,32.0,110.0,233.0,0.05600000000000005,2.904,0.0,0.54545,0.40726314907734895,0.7079539394418219,2.397473684210526,3.0655364238410594,0.9926043486842104,1.0,0.42922319757664995,0.842119834616593,60001.0,209.0,157.0,2.0,1.0,150.0,-11.0,96.5,-0.016000000000000014,0.0,-0.40726314907734895,52.0
17.0,136.0,3.0,1.0,139.0,137.0,0.9784172661870504,0.9927007299270073,66.0,231.0,27.0,51.0,66.0,449.0,0.04800000000000004,3.7119999999999997,0.0,0.17107000000000006,0.41399878271454654,0.806603382714458,3.4718222222222224,3.4644740740740745,0.9880541176470589,0.9904261029411764,0.3451318012215514,0.7595938685863223,60001.0,139.0,138.0,2.0,1.0,66.0,-27.0,66.0,0.0,0.0,-0.41399878271454654,2.0
18.0,142.0,2.0,0.0,144.0,142.0,0.9861111111111112,1.0,74.0,218.0,5.0,19.0,74.0,194.0,0.016000000000000014,2.7039999999999997,0.0,0.12225000000000008,0.3533542973982781,0.6418461538461538,3.315830985915493,3.3348732394366194,0.5974711267605635,0.5992792253521125,0.41406070406861334,0.8009721788942503,60001.0,145.0,144.0,2.0,1.0,74.0,3.0,74.0,0.0,0.0,-0.3533542973982781,1.0
19.0,12.0,4.0,109.0,16.0,121.0,0.75,0.09917355371900827,91.5,338.0,7.0,28.0,1777.0,7809.0,17.972,64.08800000000001,0.11131550000000001,0.27183100000000004,0.5052986650749858,0.9580091593409485,24.258,3.086,0.46617574999999994,0.43388808333333334,0.06321319260349148,0.6108774464804403,60001.0,17.0,122.0,2.0,0.0,91.5,-5.5,1777.0,17.972,0.026444499999999982,-0.5052986650749858,3.0
20.0,113.0,71.0,1.0,184.0,114.0,0.6141304347826086,0.9912280701754386,83.0,277.0,19.0,59.0,61.0,228.0,0.20800000000000018,4.192,0.0,0.26686,0.3973811659192825,0.896820275145933,2.555469026548673,3.84212389380531,0.9468855653097344,0.9713322141592922,0.4404415381411914,0.8478436759321356,60001.0,185.0,128.0,2.0,1.0,83.0,-19.0,57.0,-0.14400000000000013,0.0,-0.3973811659192825,62.0
