subject,method,annotator,detected_peaks,reference_peaks,matched,detector_only,reference_only,matched_fraction_detected,matched_fraction_reference,median_absolute_error_samples,maximum_absolute_error_samples
21,featuregraph,ann2,425,144,144,281,0,0.3388235294117647,1.0,7.5,57.0
21,llm_selected_baseline,ann1,150,143,139,11,4,0.9266666666666666,0.972027972027972,6.0,40.0
21,llm_selected_baseline,ann2,150,144,142,8,2,0.9466666666666667,0.9861111111111112,7.0,52.0
22,featuregraph,ann1,282,150,150,132,0,0.5319148936170213,1.0,8.0,46.0
22,featuregraph,ann2,282,150,150,132,0,0.5319148936170213,1.0,6.0,29.0
22,llm_selected_baseline,ann1,151,150,150,1,0,0.9933774834437086,1.0,6.0,40.0
22,llm_selected_baseline,ann2,151,150,150,1,0,0.9933774834437086,1.0,4.0,25.0
23,featuregraph,ann1,335,143,142,193,1,0.42388059701492536,0.993006993006993,13.0,43.0
23,featuregraph,ann2,335,144,143,192,1,0.42686567164179107,0.9930555555555556,15.0,36.0
23,llm_selected_baseline,ann1,149,143,142,7,1,0.9530201342281879,0.993006993006993,5.0,56.0
23,llm_selected_baseline,ann2,149,144,142,7,2,0.9530201342281879,0.9861111111111112,7.0,31.0
24,featuregraph,ann1,180,180,180,0,0,1.0,1.0,10.0,34.0
24,featuregraph,ann2,180,180,180,0,0,1.0,1.0,11.0,33.0
24,llm_selected_baseline,ann1,180,180,180,0,0,1.0,1.0,5.0,21.0
24,llm_selected_baseline,ann2,180,180,180,0,0,1.0,1.0,4.0,25.0
25,featuregraph,ann1,139,129,129,10,0,0.9280575539568345,1.0,17.0,30.0
25,featuregraph,ann2,139,129,129,10,0,0.9280575539568345,1.0,18.0,35.0
25,llm_selected_baseline,ann1,128,129,128,0,1,1.0,0.9922480620155039,11.0,29.0
25,llm_selected_baseline,ann2,128,129,128,0,1,1.0,0.9922480620155039,12.0,30.0
26,featuregraph,ann1,171,131,125,46,6,0.7309941520467836,0.9541984732824428,18.0,62.0
26,featuregraph,ann2,171,137,128,43,9,0.7485380116959064,0.9343065693430657,15.5,59.0
26,llm_selected_baseline,ann1,143,131,126,17,5,0.8811188811188811,0.9618320610687023,15.5,62.0
26,llm_selected_baseline,ann2,143,137,130,13,7,0.9090909090909091,0.948905109489051,10.0,49.0
27,featuregraph,ann1,562,82,80,482,2,0.1423487544483986,0.975609756097561,13.0,57.0
27,featuregraph,ann2,562,89,89,473,0,0.1583629893238434,1.0,10.0,30.0
27,llm_selected_baseline,ann1,90,82,48,42,34,0.5333333333333333,0.5853658536585366,30.0,61.0
27,llm_selected_baseline,ann2,90,89,70,20,19,0.7777777777777778,0.7865168539325843,17.0,63.0
28,featuregraph,ann1,161,145,145,16,0,0.9006211180124224,1.0,23.0,63.0
28,featuregraph,ann2,161,144,144,17,0,0.8944099378881988,1.0,22.0,51.0
28,llm_selected_baseline,ann1,146,145,145,1,0,0.9931506849315068,1.0,10.0,39.0
28,llm_selected_baseline,ann2,146,144,144,2,0,0.9863013698630136,1.0,6.0,45.0
29,featuregraph,ann1,234,150,136,98,14,0.5811965811965812,0.9066666666666666,23.5,61.0
29,featuregraph,ann2,234,151,139,95,12,0.594017094017094,0.9205298013245033,14.0,63.0
29,llm_selected_baseline,ann1,150,150,143,7,7,0.9533333333333334,0.9533333333333334,18.0,61.0
29,llm_selected_baseline,ann2,150,151,138,12,13,0.92,0.9139072847682119,22.0,62.0
30,featuregraph,ann1,171,149,148,23,1,0.8654970760233918,0.9932885906040269,12.0,51.0
30,featuregraph,ann2,171,149,148,23,1,0.8654970760233918,0.9932885906040269,9.0,43.0
30,llm_selected_baseline,ann1,151,149,149,2,0,0.9867549668874173,1.0,7.0,55.0
30,llm_selected_baseline,ann2,151,149,148,3,1,0.9801324503311258,0.9932885906040269,7.0,29.0
31,featuregraph,ann1,349,144,144,205,0,0.41260744985673353,1.0,11.0,44.0
31,featuregraph,ann2,349,143,143,206,0,0.40974212034383956,1.0,11.0,44.0
31,llm_selected_baseline,ann1,151,144,144,7,0,0.9536423841059603,1.0,8.0,32.0
31,llm_selected_baseline,ann2,151,143,143,8,0,0.9470198675496688,1.0,10.0,30.0
