subject,matched_objects,featuregraph_only_objects,llm_only_objects,featuregraph_complete_objects,llm_complete_objects,featuregraph_matched_fraction,llm_matched_fraction,median_absolute_start_index_error,maximum_absolute_start_index_error,median_absolute_peak_index_error,maximum_absolute_peak_index_error,median_absolute_end_index_error,maximum_absolute_end_index_error,median_absolute_period_seconds_error,maximum_absolute_period_seconds_error,median_absolute_full_excursion_error,maximum_absolute_full_excursion_error,median_absolute_temporal_symmetry_error,maximum_absolute_temporal_symmetry_error,featuregraph_mean_period_seconds,llm_mean_period_seconds,featuregraph_mean_full_excursion,llm_mean_full_excursion,featuregraph_mean_temporal_symmetry,llm_mean_temporal_symmetry,featuregraph_scaling,samples,featuregraph_detected_peaks,llm_detected_peaks,featuregraph_partial_objects,llm_partial_objects,median_signed_start_index_difference,median_signed_peak_index_difference,median_signed_end_index_difference,median_signed_period_seconds_difference,median_signed_full_excursion_difference,median_signed_temporal_symmetry_difference,featuregraph_only_excluded_by_both_annotators
11.0,116.0,67.0,0.0,183.0,116.0,0.6338797814207651,1.0,61.5,335.0,10.0,43.0,60.0,510.0,0.2400000000000002,5.5600000000000005,0.019560000000000022,0.29829,0.27146667123855706,0.8107142857142857,2.834896551724138,4.039373913043479,0.6531274137931035,0.6960409913793104,0.5053232295856299,0.7756968392156874,mad,60001,184,119,2,1,61.5,-2.0,51.5,-0.16799999999999926,-0.017120000000000024,-0.2681592506958978,53
12.0,150.0,3.0,0.0,153.0,150.0,0.9803921568627451,1.0,71.0,178.0,6.0,17.0,71.0,178.0,0.03200000000000003,2.76,1.1102230246251565e-16,0.0938389999999999,0.33687221869040057,0.737143146385908,3.136266666666667,3.1696000000000004,0.8490391066666666,0.85309918,0.5525480388829787,0.8913669501198175,mad,60001,154,151,2,0,71.0,6.0,71.0,0.0,0.0,-0.33687221869040057,2
13.0,105.0,413.0,0.0,518.0,105.0,0.20270270270270271,1.0,99.0,2458.0,14.0,45.0,179.0,1454.0,2.164,31.488,0.06060999999999997,0.25513399999999997,0.20966748768472898,0.7782929263659487,0.9839238095238096,4.477153846153846,0.11969459047619048,0.18245081904761906,0.7663608720086048,0.6876415608076583,mad,60001,519,106,2,1,99.0,11.0,-179.0,-2.164,-0.06060999999999997,0.11179857877971089,311
14.0,97.0,307.0,4.0,404.0,101.0,0.2400990099009901,0.9603960396039604,209.0,488.0,19.0,45.0,35.0,267.0,2.992,5.696,0.048900000000000055,1.06846,0.29188734762505253,0.7886800247882669,1.064577319587629,3.747134020618557,0.739065824742268,0.8638868556701031,0.4938436642321376,0.7170313261651964,mad,60001,404,144,2,0,209.0,2.0,27.0,-2.992,-0.048900000000000055,-0.25763888888888886,254
15.0,94.0,111.0,23.0,205.0,117.0,0.4585365853658537,0.8034188034188035,62.0,398.0,11.0,62.0,50.5,262.0,0.728,4.816000000000001,0.058679999999999954,0.8533000000000001,0.2259973953254818,0.7945875893115973,2.778553191489362,3.8559148936170216,1.2197884574468085,1.331243670212766,0.6060445126548211,0.8340324191788091,mad,60001,206,121,2,0,62.0,-7.0,43.0,-0.2719999999999998,-0.04156499999999996,-0.20791156977530323,93
16.0,152.0,87.0,0.0,239.0,152.0,0.6359832635983264,1.0,135.5,263.0,9.0,33.0,82.0,234.0,0.08800000000000008,2.896,1.1102230246251565e-16,0.5454500000000001,0.36150444087302863,0.6911974906694196,2.044684210526316,3.0655364238410594,0.9931638881578945,1.0,0.4980710783148667,0.842119834616593,mad,60001,239,157,2,1,135.5,-9.0,76.0,-0.06399999999999961,-1.1102230246251565e-16,-0.36150444087302863,82
17.0,137.0,8.0,0.0,145.0,137.0,0.9448275862068966,1.0,62.0,305.0,24.0,48.0,62.0,305.0,0.04800000000000004,2.9999999999999996,0.0,0.06940400000000002,0.37794820122406325,0.740023918331032,3.389294117647059,3.466647058823529,0.9828328175182482,0.983903094890511,0.3841906572912987,0.7568408399146592,mad,60001,145,138,2,1,62.0,-24.0,61.0,-0.008000000000000007,0.0,-0.37652910832719233,6
18.0,142.0,3.0,0.0,145.0,142.0,0.9793103448275862,1.0,65.0,214.0,16.0,22.0,65.0,179.0,0.008000000000000007,2.7119999999999997,0.0,0.12225000000000008,0.2326938950124171,0.5228915662650603,3.305802816901408,3.3348732394366194,0.5974711267605635,0.5992792253521125,0.5258684364958225,0.8009721788942503,mad,60001,146,144,2,1,65.0,16.0,65.0,0.0,0.0,-0.2326938950124171,2
19.0,121.0,300.0,0.0,421.0,121.0,0.28741092636579574,1.0,270.0,480.0,18.0,62.0,51.0,564.0,2.8160000000000003,8.736,0.015990000000000032,0.3431709999999999,0.1384497705252422,0.7353117575142442,1.0132231404958678,3.9255537190082648,0.22673750413223143,0.2612587355371901,0.5622492554602627,0.6601818549640577,mad,60001,422,122,2,0,270.0,17.0,29.0,-2.8160000000000003,-0.009840000000000015,-0.06144393241167434,278
20.0,114.0,71.0,0.0,185.0,114.0,0.6162162162162163,1.0,74.0,275.0,17.0,56.0,52.0,198.0,0.19199999999999995,4.5840000000000005,0.0,0.26686,0.34277470795120085,0.9084427767354597,2.603087719298246,3.8545964912280706,0.9456366568421053,0.9703660543859649,0.4907144683807292,0.8490500108244724,mad,60001,186,128,2,1,74.0,-17.0,50.0,-0.1359999999999998,0.0,-0.34277470795120085,62
