subject,matched_objects,featuregraph_only_objects,llm_only_objects,featuregraph_complete_objects,llm_complete_objects,featuregraph_matched_fraction,llm_matched_fraction,median_absolute_start_index_error,maximum_absolute_start_index_error,median_absolute_peak_index_error,maximum_absolute_peak_index_error,median_absolute_end_index_error,maximum_absolute_end_index_error,median_absolute_period_seconds_error,maximum_absolute_period_seconds_error,median_absolute_full_excursion_error,maximum_absolute_full_excursion_error,median_absolute_temporal_symmetry_error,maximum_absolute_temporal_symmetry_error,featuregraph_mean_period_seconds,llm_mean_period_seconds,featuregraph_mean_full_excursion,llm_mean_full_excursion,featuregraph_mean_temporal_symmetry,llm_mean_temporal_symmetry,featuregraph_construction,featuregraph_scaling,samples,featuregraph_detected_peaks,llm_detected_peaks,featuregraph_partial_objects,featuregraph_ambiguous_objects,featuregraph_invalidated_complete_objects,llm_partial_objects,median_signed_start_index_difference,median_signed_peak_index_difference,median_signed_end_index_difference,median_signed_period_seconds_difference,median_signed_full_excursion_difference,median_signed_temporal_symmetry_difference,featuregraph_only_excluded_by_both_annotators
29.0,135.0,22.0,13.0,157.0,148.0,0.8598726114649682,0.9121621621621622,21.0,210.0,22.0,62.0,21.0,288.0,0.22399999999999975,3.232,0.0,0.13099099999999997,0.08948294773359189,0.6012889366272824,3.1002666666666663,3.1990518518518525,0.3612463185185185,0.36945745925925927,0.7972568572968886,0.8193028242375995,envelope_plateau,absolute,60001,159,150,3,2,1,1,21.0,-16.0,20.0,-0.02400000000000002,0.0,-0.016476388168137013,4
30.0,146.0,5.0,0.0,151.0,146.0,0.9668874172185431,1.0,39.0,107.0,4.0,59.0,39.0,107.0,0.05600000000000005,1.0959999999999999,0.003091500000000025,0.1051000000000002,0.10735561985073705,0.2581327691087013,3.1837260273972605,3.1913972602739724,1.293744793150685,1.2978945287671235,0.9313874335849717,0.8416085604955309,envelope_plateau,absolute,60001,152,151,3,2,1,0,14.5,2.5,14.5,0.0,0.0,0.09323620117577408,2
31.0,138.0,22.0,0.0,160.0,138.0,0.8625,1.0,29.0,197.0,9.0,34.0,29.0,132.0,0.12399999999999989,2.544,0.0,0.07917599999999991,0.08802553220365789,0.35582994924879363,3.1475362318840583,3.2644637681159425,0.8887546027536232,0.890178325942029,0.9169516844963359,0.8389885955728305,envelope_plateau,absolute,60001,160,151,2,1,0,0,20.5,2.0,23.0,-0.008000000000000007,0.0,0.0650681141693426,15
32.0,196.0,0.0,0.0,196.0,196.0,1.0,1.0,14.0,45.0,6.0,32.0,14.0,45.0,0.10400000000000009,0.2879999999999998,0.0,0.08738000000000001,0.05054743123625893,0.1985042464190645,2.4346666666666668,2.4337142857142857,1.6748232142857145,1.6771910714285716,0.9196822525664401,0.9025616805539747,envelope_plateau,absolute,60001,196,197,2,1,0,0,-14.0,-4.0,-14.0,-0.031999999999999584,0.0,0.0231346121493039,0
33.0,107.0,61.0,6.0,168.0,113.0,0.6369047619047619,0.9469026548672567,50.0,338.0,8.0,56.0,30.0,300.0,2.048,6.152,0.0,0.11729999999999996,0.10826210826210825,0.44381083642001895,2.5991028037383175,4.21188785046729,0.9672668231775701,0.96834487271028,0.7681095291514694,0.7180208205933426,envelope_plateau,absolute,60001,169,114,3,2,1,0,4.0,-7.0,-1.0,-2.048,0.0,0.08017668317494309,53
34.0,136.0,8.0,0.0,144.0,136.0,0.9444444444444444,1.0,47.5,299.0,7.0,18.0,47.0,71.0,0.02400000000000002,3.3199999999999994,0.0037199999999999456,1.0334699999999999,0.17421429226807206,0.36691248627588147,3.3116470588235294,3.4072941176470586,1.0574850735294117,1.073995588235294,0.8383131922200396,0.6817245011479245,envelope_plateau,absolute,60001,147,142,4,3,2,1,47.0,7.0,47.0,0.0,0.0,0.17421429226807206,4
35.0,119.0,21.0,2.0,140.0,121.0,0.85,0.9834710743801653,49.0,250.0,1.0,39.0,49.0,122.0,0.016000000000000014,2.144,0.0,0.0,0.08227530439631936,0.3894957833683237,3.4014237288135587,3.266237288135594,0.9981846218487395,0.9981846218487395,0.951954950694395,0.8720612430824989,envelope_plateau,absolute,60001,141,159,2,1,0,0,-26.0,-1.0,-6.0,0.0,0.0,0.02899683735474934,1
36.0,146.0,3.0,1.0,149.0,147.0,0.9798657718120806,0.9931972789115646,16.5,74.0,21.0,45.0,16.5,230.0,0.07200000000000006,1.3199999999999998,0.0,0.10873599999999994,0.05454929087133792,0.22528094355435646,3.2263172413793106,3.249103448275862,0.8303764109589041,0.830269595890411,0.8738251318778756,0.8995370566951596,envelope_plateau,absolute,60001,149,147,2,1,0,0,9.0,21.0,9.0,0.0,0.0,-0.028021310391728838,1
37.0,147.0,26.0,2.0,173.0,149.0,0.8497109826589595,0.9865771812080537,28.0,139.0,8.0,54.0,28.0,197.0,0.08399999999999985,1.9600000000000002,0.0,0.1635899999999999,0.1172344577641482,0.5822916666666667,3.1057534246575345,3.1489523809523807,1.0560739068027212,1.0707000217687075,0.8391207851996743,0.7751725521779701,envelope_plateau,absolute,60001,175,153,3,2,1,1,-25.0,0.0,-26.0,-0.008000000000000007,0.0,0.09143463484706671,22
38.0,125.0,12.0,5.0,137.0,130.0,0.9124087591240876,0.9615384615384616,31.0,84.0,7.0,61.0,31.0,84.0,0.08799999999999986,2.4160000000000004,0.0,0.1261,0.11021049016240614,0.6243127147766323,3.5363870967741935,3.5866451612903223,0.9559176304,0.958615616,0.8605014776294256,0.7761158678909109,envelope_plateau,absolute,60001,138,135,2,1,0,1,-21.0,0.0,-22.0,0.0040000000000000036,0.0,0.10204334058974862,6
39.0,52.0,60.0,2.0,112.0,54.0,0.4642857142857143,0.9629629629629629,70.0,125.0,7.5,30.0,63.5,125.0,0.14400000000000013,2.5679999999999996,0.0,0.0,0.21963864958756535,0.4436080881961334,4.260923076923076,3.225999999999999,1.0,1.0,0.9378770413571024,0.7428569738002354,envelope_plateau,absolute,60001,113,180,2,1,0,1,-66.5,-1.0,-54.0,0.14400000000000013,0.0,0.21963864958756535,0
