condition,model,subject_id,fold,rows,mae,rmse,r2
physiology_only,xgboost,f02,2,7,0.7686197417122977,0.8775188405325249,0.4283041445607908
physiology_only,xgboost,f03,1,7,1.8467860221862793,2.0522320460555563,0.27842250988807216
physiology_only,xgboost,f04,4,7,0.8852673598698207,0.9632483870953921,0.18813347666336
physiology_only,xgboost,f05,4,7,0.6939359392438617,0.8782553925391139,-1.6996638708341152
physiology_only,xgboost,f06,1,7,1.5293804577418737,1.8292693006034848,-2.03639041726644
physiology_only,xgboost,f08,5,7,3.0724872861589705,3.284965900625042,-12.91471177487356
physiology_only,xgboost,f09,3,7,0.8470986911228725,1.166986355224355,-0.28328847135983426
physiology_only,xgboost,f10,1,7,1.1559177126203264,1.6351461255177446,-0.9266388196763073
physiology_only,xgboost,f11,4,7,1.508080175944737,2.0734295829933678,-0.5958818298937156
physiology_only,xgboost,f12,5,7,1.5417098999023438,2.0183667963317635,-0.14722081438041856
physiology_only,xgboost,f13,2,7,2.9931303773607527,3.6180567174730975,-1.109955217538678
physiology_only,xgboost,f15,2,7,1.624288899557931,2.131142284792972,-1.7818325557949741
physiology_only,xgboost,f16,5,7,2.26486531325749,2.7697709173959053,-0.7900472181321698
physiology_only,xgboost,f17,3,7,1.159487247467041,1.3997757754800917,-2.6926630330547585
physiology_only,xgboost,f18,3,7,1.5399532658713204,1.8321380169688126,-0.49527050861725663
physiology_only,lightgbm,S01,1,8,1.3843878081106227,1.5731857872747343,-0.28775988099289784
physiology_only,lightgbm,S03,5,8,1.2314239488316,1.524484525483837,-20.248485197162786
physiology_only,lightgbm,S04,1,8,2.5881016761324442,2.8209905501121035,-8.260203850265354
physiology_only,lightgbm,S05,5,8,0.8060596391497749,0.9665267235842774,0.06582609259744188
physiology_only,lightgbm,S06,2,8,2.3077111620121356,2.492685970462968,-4.232407029341396
physiology_only,lightgbm,S07,3,8,3.3743107571141424,3.750474906914918,-6.259902981883077
physiology_only,lightgbm,S08,1,8,3.131541137833409,3.60810851976884,-4.026730701583248
physiology_only,lightgbm,S09,4,8,1.1590380065061068,1.5584341171181029,-0.4392396429023293
physiology_only,lightgbm,S10,2,8,1.523551172392268,1.6301768912013344,-5.074232449387078
physiology_only,lightgbm,S11,5,8,2.1907388730686135,2.776100281838366,-3.403847299898888
physiology_only,lightgbm,S12,4,8,5.180063999467073,5.307233092189175,-17.975476611252457
physiology_only,lightgbm,S13,3,8,1.0081404469313187,1.209152702104595,-1.126618555646317
physiology_only,lightgbm,S14,2,8,1.2219862957196286,1.2723775987932218,-1.1585930052144064
physiology_only,lightgbm,S15,1,8,1.422501449049307,1.6935071183637642,-4.73593271989748
physiology_only,lightgbm,S16,2,8,1.5089586201509961,1.6720085727847707,-1.5199888833494226
physiology_only,lightgbm,S17,3,8,4.0976853072418855,4.192834378651874,-159.730149730789
physiology_only,lightgbm,S18,4,8,2.088125573456841,2.217215877867324,-2.9328369992535754
physiology_only,lightgbm,f01,3,7,1.3479597945450819,1.5010688691306247,-0.9715567811389558
physiology_only,lightgbm,f02,2,7,0.7730177199285049,0.9888343130614068,0.2740625509743395
physiology_only,lightgbm,f03,1,7,1.6231969456850857,1.8309440369079013,0.4256452893421626
physiology_only,lightgbm,f04,4,7,1.2912418060576358,1.4266877139931522,-0.7810081041016304
physiology_only,lightgbm,f05,4,7,0.883116540854897,1.2518017594544892,-4.484526757406743
physiology_only,lightgbm,f06,1,7,2.2422987050904917,2.541695234394774,-4.862046640050187
physiology_only,lightgbm,f08,5,7,3.188187345581987,3.5836527212321156,-15.560151960350606
physiology_only,lightgbm,f09,3,7,1.1903055118489887,1.5770618879317135,-1.3436362638455828
physiology_only,lightgbm,f10,1,7,1.5536150217096982,2.338467765126561,-2.9404873961509495
physiology_only,lightgbm,f11,4,7,1.208086905590976,1.588834253316182,0.0629142428709949
physiology_only,lightgbm,f12,5,7,1.8001154256697602,2.169702620192936,-0.3257061123191527
physiology_only,lightgbm,f13,2,7,3.056007963152268,3.380655990746861,-0.8421477350686164
physiology_only,lightgbm,f15,2,7,1.485808325158663,1.8300160253883835,-1.0512371750717073
physiology_only,lightgbm,f16,5,7,2.01928978824344,2.2280501100264227,-0.15831503498404276
physiology_only,lightgbm,f17,3,7,1.101518920787472,1.2966165167349613,-2.168442507000974
physiology_only,lightgbm,f18,3,7,1.765574153215418,1.9566672042175988,-0.7054434623179544
physiology_plus_protocol,train_mean,S01,1,8,1.3416666666666666,1.7044875411037115,-0.511689250225835
physiology_plus_protocol,train_mean,S03,5,8,0.9710591133004929,1.0258317608282264,-8.621310185361732
physiology_plus_protocol,train_mean,S04,1,8,2.2583333333333337,2.4411973382839096,-5.9346262626262645
physiology_plus_protocol,train_mean,S05,5,8,2.096059113300493,2.322383216967012,-4.393463806450049
physiology_plus_protocol,train_mean,S06,2,8,1.258974358974359,1.333133614233427,-0.4966275649676457
physiology_plus_protocol,train_mean,S07,3,8,3.2933673469387754,3.5754396207854704,-5.598074055165187
physiology_plus_protocol,train_mean,S08,1,8,3.0375000000000005,3.139643468789269,-2.8061605496899626
