fault_number,regime,property,runs_evaluated,dominant_direction,direction_consistency,median_baseline,median_regime,median_difference,median_ratio,median_cliffs_delta,behavioral_strength,repeatable,signature_rank
7,post_response,temporal_symmetry,5,increase,0.8,0.6708333333333334,0.7272727272727273,0.06221804511278195,1.0841332580463015,0.05384615384615385,0.04307692307692308,False,3
12,early_response,amplitude,5,increase,1.0,0.6488415180550646,1.5409656332514032,0.9099957349449141,2.374949183077134,0.7922077922077922,0.7922077922077922,True,1
12,early_response,falling_mean_rate,5,increase,1.0,0.06376959341134644,0.1772719257825163,0.1345638261400977,2.779881700656641,0.780952380952381,0.780952380952381,True,2
12,early_response,rising_mean_rate,5,increase,1.0,0.05637053467083315,0.14143843452477495,0.08236343682361524,2.509084495129989,0.6883116883116883,0.6883116883116883,True,3
12,post_response,peak_fall_rate,5,increase,1.0,0.05649761937963825,0.1741215500329417,0.13861254077198742,3.0819272023290796,0.7261261261261261,0.7261261261261261,True,1
12,post_response,peak_rise_rate,5,increase,1.0,0.0521998321563387,0.1791014121262378,0.13525284020406608,3.4310725672417566,0.7222222222222222,0.7222222222222222,True,2
12,post_response,amplitude,5,increase,1.0,0.6488415180550646,1.7946620384276457,1.1845852666384642,2.7659482146075303,0.7051282051282052,0.7051282051282052,True,3
14,early_response,period,5,decrease,1.0,52.5,26.0,-21.5,0.49523809523809526,-0.5113636363636364,0.5113636363636364,True,1
14,early_response,duration,5,decrease,1.0,42.0,29.0,-15.0,0.6904761904761905,-0.4909090909090909,0.4909090909090909,True,2
14,early_response,fall_duration,5,decrease,1.0,21.5,11.0,-15.5,0.5116279069767442,-0.4579831932773109,0.4579831932773109,True,3
14,post_response,period,5,decrease,1.0,52.5,22.0,-27.0,0.41904761904761906,-0.5296296296296297,0.5296296296296297,True,1
14,post_response,duration,5,decrease,1.0,42.0,21.5,-20.0,0.5119047619047619,-0.4730639730639731,0.4730639730639731,True,2
14,post_response,fall_duration,5,decrease,1.0,21.5,6.0,-15.5,0.27906976744186046,-0.4713804713804714,0.4713804713804714,True,3
