noise_std,replicate,method,detected,truth,matched,precision,recall,f1,start_index_mae,peak_index_mae,end_index_mae,duration_mae,amplitude_mae,temporal_symmetry_mae
0.1,9,SciPy baseline,12,12,12,1.0,1.0,1.0,5.0,2.5,2.0833333333333335,6.083333333333333,0.16572442936165008,0.09851989857635031
0.2,0,FeatureGraph,17,12,12,0.7058823529411765,1.0,0.8275862068965517,7.416666666666667,5.833333333333333,12.666666666666666,10.25,0.04680395829125931,0.26229745146763433
0.2,0,SciPy baseline,20,12,12,0.6,1.0,0.7499999999999999,15.166666666666666,1.8333333333333333,18.166666666666668,29.5,0.23038034232998297,0.553845247152215
0.2,1,FeatureGraph,21,12,12,0.5714285714285714,1.0,0.7272727272727273,7.916666666666667,5.333333333333333,14.916666666666666,16.5,0.04429424149012685,0.34344223833359444
0.2,1,SciPy baseline,17,12,12,0.7058823529411765,1.0,0.8275862068965517,8.833333333333334,3.3333333333333335,22.916666666666668,29.25,0.22748493123217953,0.5572473399283576
0.2,2,FeatureGraph,13,12,12,0.9230769230769231,1.0,0.9600000000000001,6.833333333333333,6.75,6.0,2.5,0.0316603217978155,0.02926999316187769
0.2,2,SciPy baseline,18,12,12,0.6666666666666666,1.0,0.8,21.166666666666668,2.75,5.916666666666667,24.416666666666668,0.23003200454705153,0.4813444941664377
0.2,3,FeatureGraph,18,12,12,0.6666666666666666,1.0,0.8,6.5,4.333333333333333,15.0,15.5,0.040988560680086085,0.3334900406451556
0.2,3,SciPy baseline,13,12,12,0.9230769230769231,1.0,0.9600000000000001,4.666666666666667,3.1666666666666665,17.5,20.666666666666668,0.22609020804384797,0.4808238284083152
0.2,4,FeatureGraph,18,12,12,0.6666666666666666,1.0,0.8,7.666666666666667,5.583333333333333,7.583333333333333,7.916666666666667,0.03246009976981817,0.10340611864708249
0.2,4,SciPy baseline,17,12,12,0.7058823529411765,1.0,0.8275862068965517,19.833333333333332,3.6666666666666665,13.083333333333334,32.083333333333336,0.1849640232701613,0.59914972108618
0.2,5,FeatureGraph,13,12,12,0.9230769230769231,1.0,0.9600000000000001,6.333333333333333,5.166666666666667,8.416666666666666,6.25,0.03287144262799894,0.12055220914380486
0.2,5,SciPy baseline,18,12,12,0.6666666666666666,1.0,0.8,15.25,3.5,13.333333333333334,27.083333333333332,0.22353215582513267,0.47551671547256635
0.2,6,FeatureGraph,20,12,12,0.6,1.0,0.7499999999999999,7.083333333333333,5.083333333333333,14.166666666666666,15.25,0.03133061297857062,0.2908670229754954
0.2,6,SciPy baseline,18,12,12,0.6666666666666666,1.0,0.8,25.416666666666668,3.8333333333333335,8.25,31.333333333333332,0.21186857280051127,0.6435804151549892
0.2,7,FeatureGraph,15,12,12,0.8,1.0,0.888888888888889,7.25,4.583333333333333,14.5,13.083333333333334,0.05655706791679536,0.26000239203285114
0.2,7,SciPy baseline,17,12,12,0.7058823529411765,1.0,0.8275862068965517,5.25,4.25,16.666666666666668,21.083333333333332,0.2182445173083284,0.434828515153828
0.2,8,FeatureGraph,17,12,12,0.7058823529411765,1.0,0.8275862068965517,6.25,5.416666666666667,9.083333333333334,10.166666666666666,0.024741535078774652,0.18376007013963502
0.2,8,SciPy baseline,19,12,12,0.631578947368421,1.0,0.7741935483870968,12.583333333333334,2.6666666666666665,21.166666666666668,31.75,0.20332120242277596,0.6477984471926063
0.2,9,FeatureGraph,18,12,12,0.6666666666666666,1.0,0.8,6.416666666666667,5.583333333333333,14.916666666666666,15.333333333333334,0.03942497623226452,0.33893742278773414
0.2,9,SciPy baseline,17,12,12,0.7058823529411765,1.0,0.8275862068965517,14.416666666666666,4.0,16.25,29.833333333333332,0.21593140164528857,0.6029152709001527
0.3,0,FeatureGraph,24,12,12,0.5,1.0,0.6666666666666666,8.916666666666666,5.416666666666667,12.083333333333334,14.5,0.07109528615551709,0.2766839340901077
0.3,0,SciPy baseline,19,12,12,0.631578947368421,1.0,0.7741935483870968,13.333333333333334,1.8333333333333333,21.5,29.833333333333332,0.1841062632052686,0.597827228132227
0.3,1,FeatureGraph,26,12,12,0.46153846153846156,1.0,0.631578947368421,8.5,5.083333333333333,17.0,20.833333333333332,0.04908343890387747,0.3790716099627432
