smooth_window,diff_lag,eps,replicate,detected,truth,matched,precision,recall,f1,start_index_mae,peak_index_mae,end_index_mae,duration_mae,amplitude_mae,temporal_symmetry_mae
1,10,0.03,4,64,12,12,0.1875,1.0,0.3157894736842105,18.416666666666668,1.1666666666666667,39.166666666666664,57.583333333333336,0.34187631261601065,0.722386402426725
5,1,0.0,0,162,12,12,0.07407407407407407,1.0,0.13793103448275862,34.25,0.9166666666666666,38.666666666666664,72.91666666666667,0.8567260316051883,0.3092592592592593
5,1,0.0,1,167,12,12,0.0718562874251497,1.0,0.1340782122905028,35.416666666666664,0.9166666666666666,38.5,73.91666666666667,0.8967218864320552,0.4275793650793651
5,1,0.0,2,157,12,12,0.07643312101910828,1.0,0.14201183431952663,36.666666666666664,0.9166666666666666,37.5,74.16666666666667,0.9174982607130083,0.2825396825396825
5,1,0.0,3,162,12,12,0.07407407407407407,1.0,0.13793103448275862,36.833333333333336,1.0833333333333333,36.833333333333336,73.66666666666667,0.9185246038209366,0.20092592592592592
5,1,0.0,4,138,12,12,0.08695652173913043,1.0,0.16,35.75,1.25,36.166666666666664,71.91666666666667,0.871344392155461,0.2609472934472934
5,1,0.01,0,160,12,12,0.075,1.0,0.13953488372093023,34.666666666666664,0.8333333333333334,38.333333333333336,73.0,0.8598056827758378,0.2801587301587301
5,1,0.01,1,167,12,12,0.0718562874251497,1.0,0.1340782122905028,36.083333333333336,0.9166666666666666,37.25,73.33333333333333,0.8893119416244589,0.37022005772005767
5,1,0.01,2,154,12,12,0.07792207792207792,1.0,0.14457831325301204,37.166666666666664,0.9166666666666666,37.166666666666664,74.33333333333333,0.9202807219147835,0.26587301587301587
5,1,0.01,3,158,12,12,0.0759493670886076,1.0,0.1411764705882353,36.916666666666664,1.0833333333333333,35.583333333333336,72.5,0.9039528890551952,0.2509920634920635
5,1,0.01,4,139,12,12,0.08633093525179857,1.0,0.1589403973509934,36.416666666666664,1.0833333333333333,34.5,70.91666666666667,0.8256414822526296,0.3146254208754209
5,1,0.03,0,146,12,12,0.0821917808219178,1.0,0.1518987341772152,37.166666666666664,0.75,34.75,71.91666666666667,0.843308245054507,0.27409883145177266
5,1,0.03,1,156,12,12,0.07692307692307693,1.0,0.14285714285714288,38.083333333333336,0.9166666666666666,34.416666666666664,72.5,0.8670491417347238,0.45651455026455023
5,1,0.03,2,156,12,12,0.07692307692307693,1.0,0.14285714285714288,37.5,1.0,37.0,74.5,0.928829611109478,0.25740740740740736
5,1,0.03,3,156,12,12,0.07692307692307693,1.0,0.14285714285714288,37.5,1.0833333333333333,32.666666666666664,70.16666666666667,0.810662826986622,0.46186338171632285
5,1,0.03,4,138,12,12,0.08695652173913043,1.0,0.16,37.833333333333336,1.1666666666666667,32.083333333333336,69.91666666666667,0.8076707275166181,0.4505820755820756
5,3,0.0,0,56,12,12,0.21428571428571427,1.0,0.35294117647058826,20.333333333333332,1.8333333333333333,28.583333333333332,48.916666666666664,0.31182890710182837,0.5296113177071596
5,3,0.0,1,56,12,12,0.21428571428571427,1.0,0.35294117647058826,18.583333333333332,1.4166666666666667,35.75,54.333333333333336,0.3664586443261488,0.5820783392154876
5,3,0.0,2,51,12,12,0.23529411764705882,1.0,0.38095238095238093,19.833333333333332,1.25,28.25,47.916666666666664,0.3092339171026734,0.6254384732772084
