distance_fraction,prominence,seed,detected,truth,matched,precision,recall,f1,interval_iou_mean,start_index_mae,peak_index_mae,end_index_mae,duration_mae,amplitude_mae,temporal_symmetry_mae
0.3,0.25,1734,17,12,10,0.5882352941176471,0.8333333333333334,0.6896551724137931,0.7260208215545594,8.1,3.0,14.3,20.0,0.13127298435413454,0.3885896893797134
0.3,0.25,1735,19,12,10,0.5263157894736842,0.8333333333333334,0.6451612903225806,0.6171577539543482,15.2,3.6,16.3,27.1,0.07159081840318496,0.589505573269646
0.3,0.25,1736,26,12,6,0.23076923076923078,0.5,0.3157894736842105,0.6980957220286488,6.833333333333333,4.0,17.666666666666668,22.5,0.10368309508490577,0.38163539718721246
0.3,0.25,1737,21,12,10,0.47619047619047616,0.8333333333333334,0.6060606060606061,0.661092943201377,13.2,2.3,14.5,24.1,0.14229540689553394,0.4982534576719516
0.3,0.25,1738,22,12,7,0.3181818181818182,0.5833333333333334,0.4117647058823529,0.6794043900469603,6.428571428571429,4.428571428571429,19.571428571428573,24.285714285714285,0.12002884739031087,0.38948466764691225
0.3,0.25,1739,21,12,9,0.42857142857142855,0.75,0.5454545454545454,0.7186287477954144,15.444444444444445,4.777777777777778,7.111111111111111,22.11111111111111,0.1881186069483121,0.39242934195154344
0.3,0.25,1740,21,12,7,0.3333333333333333,0.5833333333333334,0.4242424242424242,0.6672711846834893,15.714285714285714,1.7142857142857142,11.571428571428571,23.285714285714285,0.21690596945468624,0.3674794918072764
0.3,0.25,1741,21,12,8,0.38095238095238093,0.6666666666666666,0.4848484848484849,0.6891382490213791,14.625,2.75,10.5,23.625,0.0959141847314153,0.48697371853576293
0.3,0.25,1742,20,12,7,0.35,0.5833333333333334,0.4375,0.7676696961694093,9.285714285714286,2.7142857142857144,9.571428571428571,17.428571428571427,0.1659587517287082,0.22723564155751488
0.3,0.25,1743,18,12,7,0.3888888888888889,0.5833333333333334,0.4666666666666666,0.7911862938490664,10.857142857142858,2.857142857142857,6.142857142857143,14.142857142857142,0.21809836674843375,0.27450394563957475
0.3,0.25,1744,16,12,5,0.3125,0.4166666666666667,0.35714285714285715,0.7751219512195122,6.4,1.6,11.6,18.0,0.1458386070247327,0.29154428146469513
0.3,0.25,1745,20,12,9,0.45,0.75,0.5625000000000001,0.7220986427875773,15.0,2.3333333333333335,7.666666666666667,20.22222222222222,0.23494175489073676,0.33812994532814167
0.3,0.25,1746,21,12,7,0.3333333333333333,0.5833333333333334,0.4242424242424242,0.7722490670566579,12.0,2.5714285714285716,6.714285714285714,14.714285714285714,0.1758103646133605,0.2900712210736221
0.3,0.25,1747,19,12,10,0.5263157894736842,0.8333333333333334,0.6451612903225806,0.7650555606162971,8.0,2.8,11.2,16.6,0.14132539385763335,0.27578894991917025
0.3,0.25,1748,20,12,9,0.45,0.75,0.5625000000000001,0.582764153725373,23.22222222222222,3.3333333333333335,11.0,30.0,0.097674202409766,0.5730921778816254
0.3,0.4,1729,13,12,11,0.8461538461538461,0.9166666666666666,0.8799999999999999,0.7857329971613983,6.909090909090909,1.7272727272727273,11.0,14.818181818181818,0.2091017992472911,0.27758946872935053
0.3,0.4,1730,12,12,10,0.8333333333333334,0.8333333333333334,0.8333333333333334,0.7603814201590346,8.9,3.5,11.1,15.4,0.18993562782630663,0.32257672727753456
0.3,0.4,1731,13,12,11,0.8461538461538461,0.9166666666666666,0.8799999999999999,0.7938834772602127,11.090909090909092,2.272727272727273,5.636363636363637,14.727272727272727,0.2343797498359387,0.2804782947695028
0.3,0.4,1732,15,12,11,0.7333333333333333,0.9166666666666666,0.8148148148148148,0.828507700418687,4.909090909090909,3.3636363636363638,9.272727272727273,12.181818181818182,0.23701331886712118,0.1936040537355792
0.3,0.4,1733,11,12,9,0.8181818181818182,0.75,0.7826086956521738,0.8263463205124558,8.11111111111111,3.5555555555555554,6.222222222222222,10.333333333333334,0.25927172296020395,0.18810413683831406
0.3,0.4,1734,14,12,11,0.7857142857142857,0.9166666666666666,0.8461538461538461,0.7875857389026993,9.909090909090908,3.1818181818181817,7.7272727272727275,14.727272727272727,0.18530280352256484,0.2795803212573864
