smooth_window,diff_lag,eps,seed,detected,truth,matched,precision,recall,f1,interval_iou_mean,start_index_mae,peak_index_mae,end_index_mae,duration_mae,amplitude_mae,temporal_symmetry_mae
1,10,0.01,1741,59,12,1,0.01694915254237288,0.08333333333333333,0.028169014084507043,0.5,5.0,3.0,35.0,40.0,0.23936199835412308,0.9
1,10,0.01,1742,68,12,3,0.04411764705882353,0.25,0.075,0.7458333333333332,6.333333333333333,2.0,14.0,20.333333333333332,0.2620426209981089,0.3167772249861802
1,10,0.01,1743,77,12,0,0.0,0.0,0.0,,,,,,,
1,10,0.01,1744,63,12,2,0.031746031746031744,0.16666666666666666,0.05333333333333334,0.5125,24.0,4.5,15.0,39.0,0.19694355072505987,0.7321428571428572
1,10,0.01,1745,74,12,1,0.013513513513513514,0.08333333333333333,0.023255813953488372,0.9,6.0,7.0,2.0,8.0,0.3725312426136438,0.13888888888888884
1,10,0.01,1746,87,12,0,0.0,0.0,0.0,,,,,,,
1,10,0.01,1747,67,12,1,0.014925373134328358,0.08333333333333333,0.02531645569620253,0.5365853658536586,36.0,7.0,2.0,34.0,0.5207368354865858,0.5217391304347826
1,10,0.01,1748,75,12,1,0.013333333333333334,0.08333333333333333,0.022988505747126436,0.9125,7.0,3.0,0.0,7.0,0.23328169804990972,0.013698630136986356
1,10,0.03,1729,67,12,2,0.029850746268656716,0.16666666666666666,0.05063291139240506,0.5092592592592593,23.5,3.5,16.0,38.5,0.18536180387988677,0.6622093023255814
1,10,0.03,1730,80,12,0,0.0,0.0,0.0,,,,,,,
1,10,0.03,1731,73,12,1,0.0136986301369863,0.08333333333333333,0.023529411764705882,0.5061728395061729,39.0,6.0,1.0,38.0,0.3470522791619963,0.6666666666666666
1,10,0.03,1732,68,12,4,0.058823529411764705,0.3333333333333333,0.1,0.6793887383318278,16.5,3.75,9.5,23.5,0.2663008997504393,0.41235163373687134
1,10,0.03,1733,64,12,1,0.015625,0.08333333333333333,0.02631578947368421,0.5,39.0,6.0,2.0,37.0,0.2558793820940659,0.6744186046511628
1,10,0.03,1734,62,12,1,0.016129032258064516,0.08333333333333333,0.027027027027027025,0.8333333333333334,10.0,4.0,4.0,6.0,0.3223833375884473,0.08108108108108114
1,10,0.03,1735,66,12,1,0.015151515151515152,0.08333333333333333,0.02564102564102564,0.9125,4.0,5.0,3.0,7.0,0.17888433334232356,0.12328767123287676
1,10,0.03,1736,64,12,2,0.03125,0.16666666666666666,0.05263157894736842,0.5755813953488372,32.0,3.0,3.0,29.0,0.2461073634471126,0.6096774193548388
1,10,0.03,1737,74,12,1,0.013513513513513514,0.08333333333333333,0.023255813953488372,0.925,6.0,5.0,0.0,6.0,0.24986203705009302,0.05405405405405406
1,10,0.03,1738,69,12,1,0.014492753623188406,0.08333333333333333,0.02469135802469136,0.5375,5.0,7.0,32.0,37.0,0.1409709391372167,0.9534883720930233
1,10,0.03,1739,73,12,2,0.0273972602739726,0.16666666666666666,0.047058823529411764,0.79375,10.5,3.5,6.0,16.5,0.1718605667588824,0.03995037220843667
1,10,0.03,1740,71,12,0,0.0,0.0,0.0,,,,,,,
1,10,0.03,1741,59,12,2,0.03389830508474576,0.16666666666666666,0.056338028169014086,0.6676470588235295,7.0,3.0,20.0,22.0,0.2726857801212885,0.5026315789473684
1,10,0.03,1742,68,12,3,0.04411764705882353,0.25,0.075,0.725,8.0,2.0,14.0,22.0,0.2620426209981089,0.3448626045400239
1,10,0.03,1743,77,12,0,0.0,0.0,0.0,,,,,,,
1,10,0.03,1744,62,12,2,0.03225806451612903,0.16666666666666666,0.05405405405405405,0.5125,24.0,4.0,15.0,39.0,0.19694355072505987,0.7071428571428571
1,10,0.03,1745,72,12,0,0.0,0.0,0.0,,,,,,,
1,10,0.03,1746,84,12,0,0.0,0.0,0.0,,,,,,,
1,10,0.03,1747,68,12,0,0.0,0.0,0.0,,,,,,,
1,10,0.03,1748,73,12,1,0.0136986301369863,0.08333333333333333,0.023529411764705882,0.9125,7.0,3.0,0.0,7.0,0.23328169804990972,0.013698630136986356
5,1,0.0,1729,162,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.0,1730,167,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.0,1731,157,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.0,1732,162,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.0,1733,138,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.0,1734,136,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.0,1735,161,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.0,1736,143,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.0,1737,137,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.0,1738,156,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.0,1739,149,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.0,1740,168,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.0,1741,154,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.0,1742,140,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.0,1743,146,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.0,1744,134,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.0,1745,170,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.0,1746,160,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.0,1747,166,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.0,1748,149,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.01,1729,160,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.01,1730,167,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.01,1731,154,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.01,1732,158,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.01,1733,139,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.01,1734,137,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.01,1735,157,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.01,1736,142,12,1,0.007042253521126761,0.08333333333333333,0.012987012987012988,0.5,40.0,4.0,0.0,40.0,0.07066503110768774,0.8
5,1,0.01,1737,150,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.01,1738,151,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.01,1739,150,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.01,1740,163,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.01,1741,141,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.01,1742,149,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.01,1743,151,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.01,1744,133,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.01,1745,164,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.01,1746,166,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.01,1747,158,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.01,1748,148,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.03,1729,146,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.03,1730,156,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.03,1731,156,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.03,1732,156,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.03,1733,138,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.03,1734,147,12,2,0.013605442176870748,0.16666666666666666,0.025157232704402514,0.5245426829268293,36.5,2.0,2.0,36.5,0.0500927790737673,0.9294803817603394
5,1,0.03,1735,149,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.03,1736,138,12,1,0.007246376811594203,0.08333333333333333,0.013333333333333332,0.5625,35.0,3.0,0.0,35.0,0.07066503110768774,0.9111111111111111
5,1,0.03,1737,152,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.03,1738,145,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.03,1739,130,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.03,1740,147,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.03,1741,138,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.03,1742,152,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.03,1743,147,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.03,1744,142,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.03,1745,157,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.03,1746,156,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.03,1747,142,12,0,0.0,0.0,0.0,,,,,,,
5,1,0.03,1748,158,12,0,0.0,0.0,0.0,,,,,,,
5,3,0.0,1729,56,12,2,0.03571428571428571,0.16666666666666666,0.058823529411764705,0.6875,23.5,3.0,1.5,25.0,0.03464005663538239,0.3627450980392157
5,3,0.0,1730,56,12,1,0.017857142857142856,0.08333333333333333,0.029411764705882353,0.5,7.0,0.0,33.0,40.0,0.007077802367796648,0.65
5,3,0.0,1731,51,12,3,0.058823529411764705,0.25,0.09523809523809523,0.662962962962963,15.333333333333334,1.6666666666666667,11.666666666666666,26.333333333333332,0.0805365833768051,0.5315328070982738
5,3,0.0,1732,55,12,2,0.03636363636363636,0.16666666666666666,0.05970149253731343,0.6812499999999999,21.5,1.5,4.0,25.5,0.03274999434861903,0.5100430416068866
5,3,0.0,1733,44,12,5,0.11363636363636363,0.4166666666666667,0.17857142857142858,0.6952160493827161,18.2,3.0,6.2,24.0,0.07968299985537611,0.42302154434712574
5,3,0.0,1734,39,12,5,0.1282051282051282,0.4166666666666667,0.196078431372549,0.7139065255731922,15.6,3.2,7.4,21.0,0.06750651186567999,0.36932797109051696
